time,q_0,qd_0,sp_0,err_0,integral_0,derivative_0,delta_Kp_0,delta_Ki_0,delta_Kd_0,q_1,qd_1,sp_1,err_1,integral_1,derivative_1,delta_Kp_1,delta_Ki_1,delta_Kd_1,q_2,qd_2,sp_2,err_2,integral_2,derivative_2,delta_Kp_2,delta_Ki_2,delta_Kd_2,q_3,qd_3,sp_3,err_3,integral_3,derivative_3,delta_Kp_3,delta_Ki_3,delta_Kd_3,q_4,qd_4,sp_4,err_4,integral_4,derivative_4,delta_Kp_4,delta_Ki_4,delta_Kd_4,q_5,qd_5,sp_5,err_5,integral_5,derivative_5,delta_Kp_5,delta_Ki_5,delta_Kd_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3702402448465305,0.3702402448465305,0.0037024024484653053,37.02402448465305,50.0,0.05808226515843663,10.0,0.0,0.0,0.3490658503988659,0.3490658503988659,0.003490658503988659,34.906585039886586,50.0,0.12006840625733527,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0090720098570784,0.90720098570784,0.009869344645564222,0.000797334788485822,-8.274675068592579e-05,0.9869344645564222,0.028113558257299026,0.0,0.37239509529749687,0.05143704448518226,5.143704448518226,0.3771529234837126,0.32571587899853033,0.006445190793598786,0.691267863718209,50.0,0.1086144583274146,10.0,0.1984642823550893,19.84642823550893,0.3489556116624759,0.1504913293073866,0.003010928973511632,-0.011023873638998927,-50.0,-0.058638214479336336,0.8832823813728867,-7.731628962713334e-05,-0.007731628962713334,0.009869344645564222,0.009946660935191356,0.00010023977224818489,0.9869344645564222,7.7465843745382985,0.004303770016218629,10.0,-0.002727363501299033,-0.2727363501299033,0.009869344645564222,0.012596708146863256,0.0001532407164816229,0.9869344645564222,17.334869054563526,0.0030001845859084653,10.0,-1.8535774914645157e-06,-0.00018535774914645156,0.009869344645564222,0.009871198223055686,9.873051800547151e-05,0.9869344645564222,12.652064515484051,0.001494403403368411,10.0
0.02,0.02057703695441266,1.1505027097334257,0.01973713080719984,-0.0008399061472128197,-0.00020619608313139659,0.9867786161635618,-0.018379576182493078,0.001038371729475685,-6.71770374372456,0.11757171460935034,6.613467012416808,0.3839316014830391,0.2663598868736888,0.008447442961093992,0.6778677999326521,50.0,0.13221127417657172,10.0,0.4037049832125855,20.524070085749617,0.3486249650824547,-0.0550800181301308,0.0004077217836353617,-0.033064658002118774,50.0,-0.02911396317556134,9.331356807775201,0.013724678211886117,1.380199450151325,0.01973713080719984,0.006012452595313723,2.234435318618962e-05,0.9867786161635618,-1.4589982141397626,0.0,-8.804627004801702,0.010298471404893332,1.3025834906192366,0.01973713080719984,0.009438659402306508,0.00011736896144276432,0.9867786161635618,-0.9139726037666328,0.00030273102055336683,-3.9339327549713388,0.009718400547027793,0.9720254124519258,0.01973713080719984,0.010018730260172047,0.00010171527936199942,0.9867786161635618,1.947568190683343,0.0014504920803029607,7.897901733427345
0.03,0.033483780536790464,1.29067435823778,0.029601800247080923,-0.0038819802897095412,-0.0003740833218522701,0.9864669439881082,1.0774411829386867,0.005986486029512389,-10.0,0.1986765121474151,8.110479753806477,0.3905738704124943,0.1918973582650792,0.009555368568364137,0.6642268929455186,50.0,0.09821691423998552,10.0,0.5991825392371811,19.54775560245956,0.3480741195022691,-0.25110841973491205,-0.004058137973959715,-0.05508455801856438,50.0,0.4555145267350603,10.0,0.03132514904128875,1.7600470829402626,0.029601800247080923,-0.001723348794207824,-0.00017089384304991493,0.9864669439881082,2.5063343408774057,-0.0032125635386561534,-10.0,0.030731470154878038,2.0432998749984703,0.029601800247080923,-0.001129669907797115,-9.82577251350539e-05,0.9864669439881082,2.548426778613502,0.0016879369311311977,-10.0,0.028046507298359055,1.8328106751331261,0.029601800247080923,0.0015552929487218682,-6.601285866409452e-05,0.9864669439881082,-1.0038028408239947,0.007332087783578852,-10.0
0.04,0.046879261435222475,1.3395480898432013,0.03946179521954803,-0.007417466215674441,-0.0005822127929933347,0.9859994972467111,1.3086927157848354,-0.020256863562067365,-10.0,0.2928730645028498,9.419655235543466,0.39707737030555557,0.10420430580270579,0.009655446102836848,0.650349989306126,41.59822591521326,0.060993217519966496,10.0,0.767871916489574,16.86893772523929,0.34730342284779403,-0.42056849364177995,-0.009950716682901442,-0.07706966544750449,50.0,1.4452489844499128,10.0,0.051324373134999546,1.9999224093710795,0.03946179521954803,-0.011862577915451512,-0.000489511863141538,0.9859994972467111,37.313349361130946,0.011909480963351054,-10.0,0.05404478639005393,2.3313316235175896,0.03946179521954803,-0.014582991170505898,-0.0004772207991918718,0.9859994972467111,50.0,0.029785583496282676,-10.0,0.04543729503310154,1.7390787734742479,0.03946179521954803,-0.0059754998135535045,-0.0002996757341470544,0.9859994972467111,9.5652244986299,0.015256239367237781,-10.0
0.05,0.06053428090070111,1.3655019465478628,0.04931555871709433,-0.011218722183606776,-0.0008309502094841887,0.9853763497546297,3.8352091862490605,0.004478568229346206,-10.0,0.3963161439298645,10.344307942701468,0.403439790499678,0.007123646569813513,0.008692251774264836,0.636242019412242,-2.665141985643713,-0.023523389487302083,-8.86756790370286,0.8951281524849704,12.725623599539631,0.3463133619075551,-0.5488147905774152,-0.01671142694862956,-0.09900609402389016,50.0,2.7608126301168774,10.0,0.07244272970365379,2.1118356568654235,0.04931555871709433,-0.023127170986559455,-0.0009319671386936749,0.9853763497546297,50.0,0.030643076602581934,-10.0,0.0784254698720684,2.4380683482014467,0.04931555871709433,-0.02910991115497407,-0.0010121267455617572,0.9853763497546297,50.0,0.053434272087769755,-10.0,0.061474420957703654,1.6037125924602114,0.04931555871709433,-0.012158862240609324,-0.0005816356157991688,0.9853763497546297,25.992956814441985,0.009639623933986168,-10.0
0.06,0.07484770143466389,1.431342053396278,0.059161534716235115,-0.015686166718428776,-0.0011309460820081044,0.9845975999140784,5.300933085722248,-0.022364547485868535,-10.0,0.5039002756460466,10.758413171618209,0.40965887045726207,-0.09424140518878449,0.006673996405215171,0.6219079957584084,50.0,-0.08798865591707036,-10.0,0.9698394144427722,7.471126195780183,0.34510456202526246,-0.6247348524175098,-0.023705888092382676,-0.12087998822927215,50.0,4.02131010880952,10.0,0.09313227318163031,2.0689543477976526,0.059161534716235115,-0.033970738465395195,-0.0014785699581273922,0.9845975999140784,50.0,0.06375506001813416,-10.0,0.10190493413886198,2.3479464266793584,0.059161534716235115,-0.042743399422626865,-0.0016743553824559616,0.9845975999140784,50.0,0.10889303014073148,-10.0,0.07570617734653003,1.4231756388826367,0.059161534716235115,-0.016544642630294912,-0.0008893996059903817,0.9845975999140784,39.21408979484964,0.0021410695092609123,-10.0
0.07,0.09047363188216032,1.5625930447496421,0.06899816842322194,-0.021475463458938374,-0.0015019600210724525,0.9836633706986827,9.238987191531352,-0.0003015543409682726,-10.0,0.6107710133866149,10.68707377405683,0.4157324005688117,-0.19503861281780316,0.003654902899631456,0.6073530111549652,50.0,-0.06667938183141649,-10.0,0.9853897635927436,1.5550349149971359,0.34367778670483057,-0.6417119768879129,-0.03027851135276152,-0.14267753204317835,50.0,4.767165597924717,10.0,0.1119745416920078,1.8842268510377485,0.06899816842322194,-0.04297637326878585,-0.0020967563759190255,0.9836633706986827,50.0,0.11833912361452087,-10.0,0.12259724771437805,2.0692313575516073,0.06899816842322194,-0.05359907929115611,-0.0024172693111226833,0.9836633706986827,50.0,0.2146772705673686,-10.0,0.08773548998952793,1.20293126429979,0.06899816842322194,-0.01873732156630599,-0.0011970659480834206,0.9836633706986827,44.84960749906513,0.025012815221637907,-10.0
0.08,0.1077384848200644,1.726485293790409,0.07882390651956259,-0.028914578300501814,-0.0019637543334565114,0.9825738096340644,18.9530921927553,0.010166797152510194,-10.0,0.7125675814865194,10.179656809990457,0.42165822293799815,-0.2909093585485213,-0.00027215636685280244,0.5925822369186429,50.0,-3.087337035842432e-05,-10.0,0.9403786801794787,-4.50110834132649,0.3420339371281324,-0.5983447430513462,-0.035811847949142335,-0.16438495766981642,50.0,4.693899931231334,10.0,0.1277878327386336,1.5813291046625801,0.07882390651956259,-0.048963926219071,-0.0027445285485759936,0.9825738096340644,50.0,0.1877572643975047,-10.0,0.13896206850232273,1.6364820787944676,0.07882390651956259,-0.06013816198276015,-0.0031822991388297315,0.9825738096340644,50.0,0.2831240571585038,-10.0,0.09735110215696646,0.9615612167438536,0.07882390651956259,-0.018527195637403876,-0.0014784940261318449,0.9825738096340644,37.96844942527042,0.026694850056903297,-10.0
0.09,0.12623462550164288,1.849614068157849,0.08863719740730808,-0.037597428094334806,-0.0025246900212156443,0.981329088774549,33.550942844920975,0.017835646636992684,-10.0,0.8056340882905121,9.30665068039926,0.4274342321483502,-0.3781998561421619,-0.0049848199963143484,0.577600921035204,50.0,0.1292987358207975,-10.0,0.8389453539456397,-10.143332623383898,0.340174051585794,-0.49877130235984574,-0.039785227710402396,-0.1859885542338402,50.0,3.6307723774169323,10.0,0.13977914461162436,1.1991311872990777,0.08863719740730808,-0.05114194720431628,-0.003375861139349064,0.981329088774549,50.0,0.22376768444445833,-10.0,0.15002135455368074,1.1059286051358006,0.08863719740730808,-0.06138415714637266,-0.003906733570807038,0.981329088774549,50.0,0.31026460631513036,-10.0,0.10463484763902163,0.7283745482055172,0.08863719740730808,-0.015997650231713553,-0.001711307983269532,0.981329088774549,25.16481203278484,0.02823126041314761,-10.0
